,GameId,MinPlayers,MaxPlayers
364,260428,2,4
366,161614,2,5
367,15985,2,2
368,244711,1,4
369,188866,1,8
370,229220,1,4
371,138161,1,4
372,297030,1,4
373,295486,2,4
374,151347,2,5
375,100901,2,6
376,128271,1,5
377,215341,2,4
378,79828,2,2
379,269210,1,4
380,244271,2,6
381,215311,2,6
382,96913,2,5
383,47,3,5
384,128671,3,4
385,66362,2,5
386,176396,2,4
387,27162,2,5
388,11170,2,4
389,111341,2,5
390,274960,2,6
391,105134,3,5
392,25417,2,2
393,137408,2,4
394,270633,1,4
395,34219,2,4
396,150658,2,5
397,18833,2,2
398,192153,2,4
399,62222,2,2
400,92415,3,6
401,5404,3,5
402,270844,1,4
403,157969,3,5
404,128996,2,4
405,146791,1,4
406,712,2,2
407,17226,2,5
408,83330,2,5
409,123123,1,5
410,150,2,8
411,136063,2,5
412,372,2,2
413,177639,2,2
414,62227,1,2
415,194607,1,2
417,95527,2,4
418,300322,1,4
419,251658,1,4
420,162082,2,4
421,158899,2,6
422,98778,2,5
423,233312,2,4
424,13,3,4
425,65781,2,4
426,105551,2,5
427,119506,1,4
428,127398,2,4
429,256730,2,4
430,478,2,8
431,15062,3,7
432,206941,2,4
433,97786,2,5
434,304420,2,5
436,144189,1,4
437,20437,2,4
438,279537,1,4
439,43570,1,1
440,171668,2,5
441,133848,2,6
442,262543,2,12
443,221965,2,2
444,875,1,4
445,193042,2,6
446,191862,2,4
447,102652,2,5
448,240196,3,5
449,147949,3,10
450,58421,2,4
451,226522,1,4
452,36553,4,18
453,171,2,2
454,125618,2,6
455,21790,2,4
456,90419,2,5
457,205398,2,8
458,144797,2,5
459,9674,1,4
460,142379,1,5
461,31999,2,2
462,232043,2,4
463,163968,2,4
464,156858,1,5
465,42052,2,4
466,180974,2,4
467,192836,1,4
468,27173,2,4
469,34119,1,6
470,18,2,8
471,218603,2,8
473,133473,2,5
474,11,2,7
475,12942,3,7
476,245654,1,6
477,133038,1,4
478,97842,2,5
479,156009,2,5
480,17405,3,5
481,475,2,5
482,181530,2,4
483,183562,2,2
484,22827,2,6
485,183251,2,4
486,262215,1,4
487,31730,2,6
488,27746,3,5
489,3685,2,2
490,128780,1,6
491,141572,2,5
492,257501,2,2
493,202426,4,9
494,15363,2,4
495,269144,2,5
496,6249,2,6
497,151022,1,4
498,245655,3,5
499,91312,2,4
500,159508,2,4
501,2346,2,2
502,155703,2,6
503,212445,2,2
504,246684,1,5
505,39351,3,5
506,160010,2,5
507,232414,2,4
508,6472,3,5
509,153938,2,8
510,140603,3,5
511,196326,2,8
512,84419,1,4
513,39938,2,5
514,205359,2,2
515,169255,2,4
516,294484,2,4
517,172308,2,5
518,42776,1,4
519,113924,1,4
521,298047,1,4
522,42215,2,4
523,300531,1,4
524,9625,2,7
525,4390,2,5
526,264241,2,2
527,28023,2,6
528,73171,2,4
529,503,2,5
530,143519,2,4
531,119432,1,5
532,174785,3,5
533,117959,2,5
534,1513,1,6
535,150145,2,6
536,131357,2,6
537,170561,1,5
538,30869,2,4
539,209778,1,8
540,163166,3,7
541,121408,2,4
542,252328,2,2
543,150997,1,4
544,293141,2,6
545,24508,2,4
546,216734,2,6
547,175095,1,5
548,262211,1,5
550,58281,2,4
551,130960,2,3
552,180511,1,4
553,135219,2,2
554,10547,3,6
555,37904,2,10
556,224710,1,6
557,111799,1,4
558,50750,2,5
559,1353,4,18
560,270673,2,4
561,198953,2,4
562,121288,3,6
563,116998,1,5
564,256952,2,4
565,193949,3,3
566,3201,2,2
567,134726,2,2
568,70512,1,4
569,21763,2,2
570,220,3,5
571,126792,2,4
572,46,2,6
573,173064,1,5
574,65532,1,4
575,30380,2,5
576,5782,2,5
577,88,2,4
578,107529,2,4
579,13004,2,4
580,155624,2,5
581,160495,2,4
582,181521,1,4
583,113294,1,5
584,20963,2,5
585,203416,1,6
586,265402,2,5
587,100423,1,8
588,171499,2,4
589,123540,2,5
590,3307,3,5
591,162007,2,8
592,258036,2,7
593,269511,1,4
594,213893,2,4
595,227224,1,4
596,15364,3,5
597,284435,1,4
598,154825,2,4
599,264055,2,5
600,146278,2,4
601,9823,2,2
602,72321,1,5
603,699,2,5
604,193558,2,4
605,242574,2,4
606,143741,3,8
607,68425,2,4
608,168584,2,4
609,586,2,3
610,285192,1,3
611,170624,2,4
612,73761,2,4
614,163839,2,5
615,232219,2,4
616,432,2,10
617,173442,2,6
618,156336,1,2
619,36235,2,2
620,29603,1,2
621,2163,2,4
622,179803,2,4
623,2955,2,4
624,153016,4,12
625,22345,2,4
626,55600,2,4
627,31563,2,4
628,167400,2,4
629,165401,2,2
630,226320,1,6
631,192457,2,4
632,7717,2,2
633,168435,1,7
634,87890,2,4
635,137988,1,6
636,69789,1,4
637,266121,1,6
638,132018,1,3
639,143515,2,4
640,241724,1,5
641,244228,2,4
642,79127,2,4
643,43528,2,4
644,247367,2,2
645,71721,1,6
646,26997,2,2
647,214880,2,4
648,201825,1,4
649,483,2,7
650,156943,2,5
651,158889,2,4
652,2398,2,4
653,220520,1,2
654,256382,2,6
655,47185,2,2
656,242639,2,5
657,200147,2,4
658,183840,2,4
659,233247,2,4
660,270970,2,4
661,20100,3,7
662,110277,2,4
663,231581,1,4
664,162286,2,4
665,160499,2,6
666,38996,2,2
667,169654,2,6
668,249381,2,5
669,203417,1,6
670,170416,1,5
671,131287,2,4
672,21882,2,4
673,190082,2,4
674,91872,1,5
675,135779,5,10
676,169427,1,4
677,24800,1,4
678,41002,2,4
679,18098,2,8
680,1035,2,2
681,244992,2,4
682,2453,2,4
683,30957,2,5
684,296912,2,4
685,40628,2,4
686,177590,2,2
687,148575,2,2
688,117915,2,5
689,171273,1,5
690,163602,1,4
691,156566,3,5
692,12002,2,2
693,179275,1,2
694,181687,1,4
695,244115,2,4
696,230244,1,4
697,224597,2,2
698,28181,2,2
699,277085,2,6
700,166384,3,8
701,113997,2,7
702,12962,2,4
703,528,2,2
704,255692,2,5
705,191051,2,4
706,145659,2,6
707,204516,2,4
708,158435,3,5
709,161417,2,4
710,103886,2,2
711,35570,3,4
712,214887,1,4
713,137269,2,5
714,197443,2,2
715,12891,3,4
716,94,2,6
717,139898,2,5
718,194879,2,7
719,245961,1,4
720,45,2,6
721,198830,1,4
722,51,1,99
723,12902,2,4
724,119788,2,6
725,41066,2,6
726,290236,1,5
727,82421,2,4
728,291572,2,4
730,251678,1,6
731,132028,2,4
732,155362,4,8
733,218333,2,4
734,156689,1,5
735,271518,2,3
736,53953,1,5
737,175117,2,6
738,303057,2,4
739,319966,2,4
740,1041,3,4
741,248490,1,7
742,82420,2,4
743,217780,1,4
744,26566,2,4
745,280480,2,5
746,154458,2,2
747,8125,3,5
748,29368,2,6
749,234671,2,5
750,239942,1,4
751,179172,1,4
753,281442,1,4
754,256570,1,4
755,252153,1,4
756,122298,2,2
757,11825,1,2
758,2181,4,4
759,1345,2,5
760,26990,3,5
761,129948,2,4
762,15512,3,8
763,177678,2,4
764,16747,2,4
765,151004,2,2
766,9440,2,5
